GeneID	Common name	chrom	Strand	TSS	TTS	
Unit091		chrIV	-	753599	753389	
YDR148C	KGD2	chrIV	-	755229	754181	
YDR150W	"NUM1, PAC12"	chrIV	+	755561	757425	
YDR151C	CTH1	chrIV	-	765325	764237	
YDR152W	GIR2	chrIV	+	765641	766473	
YDR153C	ENT5	chrIV	-	768109	766685	
YDR155C	"CPR1, CPH1, CYP1"	chrIV	-	769053	768389	
YDR156W	"RPA14, A14"	chrIV	+	769473	770001	
CUT510		chrIV	-	770203	769699	
YDR158W	HOM2	chrIV	+	770329	771569	
YDR159W	"SAC3, LEP1"	chrIV	+	771761	775665	
YDR160W	"SSY1, SHR10"	chrIV	+	775985	778713	
YDR161W		chrIV	+	778985	780201	
YDR162C	NBP2	chrIV	-	781237	780397	
YDR163W	CWC15	chrIV	+	781345	781897	
YDR164C	SEC1	chrIV	-	784261	781973	
CUT513		chrIV	-	784643	784435	
YDR165W	TRM82	chrIV	+	784817	786121	
YDR166C	SEC5	chrIV	-	789285	786277	
YDR167W	"TAF10, TafII25, TAF25, TAF23"	chrIV	+	789409	789993	
YDR168W	"CDC37, SMO1"	chrIV	+	790289	791841	
CUT070		chrIV	+	791959	792111	
YDR169C	STB3	chrIV	-	794261	792029	
CUT071		chrIV	+	794487	795255	
YDR169C-A		chrIV	-	794825	794396	
Unit136		chrIV	+	795790	796100	
YDR170C	SEC7	chrIV	-	802421	801701	
YDR171W	HSP42	chrIV	+	806545	807833	
anti-YDR171W		chrIV	-	808035	807744	
YDR172W	"SUP35, eRF3, [PSI(+)], [PSI], SUP36, SUP2, SUF12, SAL3, PNM2, GST1"	chrIV	+	808249	810433	
Unit137		chrIV	+	810441	810549	
YDR173C	"ARG82, IPK2, ARGR3"	chrIV	-	811677	810685	
YDR174W	"HMO1, HSM2"	chrIV	+	812073	813009	
YDR175C	RSM24	chrIV	-	814197	813165	
YDR176W	"NGG1, SWI7, ADA3"	chrIV	+	814401	816657	
YDR177W	UBC1	chrIV	+	816761	817625	
anti-YDR177W		chrIV	-	817658	817502	
YDR178W	"SDH4, ACN18"	chrIV	+	817825	818609	
YDR179C	CSN9	chrIV	-	819261	817053	
YDR179W-A		chrIV	+	819329	820666	
YDR180W	SCC2	chrIV	+	821146	825682	
YDR181C	SAS4	chrIV	-	827422	825870	
YDR182W	"CDC1, ESP2, DSR1, DSC1"	chrIV	+	827498	829170	
YDR182W-A		chrIV	+	829049	829532	
YDR183W	PLP1	chrIV	+	829538	830297	
YDR184C	"ATC1, LIC4"	chrIV	-	831550	830406	
SUT061		chrIV	+	831712	832752	
YDR185C		chrIV	-	832590	831910	
YDR186C		chrIV	-	835550	832742	
YDR188W	"CCT6, TCP20, TCP6, HTR3"	chrIV	+	836338	838170	
YDR189W	SLY1	chrIV	+	838330	840394	
YDR190C	"RVB1, TIP48, TIH1, TIP49A"	chrIV	-	842062	840462	
YDR191W	HST4	chrIV	+	842282	843370	
YDR192C	"NUP42, UIP1, RIP1"	chrIV	-	844926	843582	
YDR194W-A		chrIV	+	847969	848401	
YDR194C	MSS116	chrIV	-	847974	845846	
YDR195W	REF2	chrIV	+	848346	850210	
YDR196C		chrIV	-	851046	850262	
YDR197W	"CBS2, CBP7"	chrIV	+	851170	852386	
YDR198C		chrIV	-	853998	852542	
YDR200C	"VPS64, FAR9"	chrIV	-	856150	854182	
YDR201W	SPC19	chrIV	+	856274	856786	
YDR202C	RAV2	chrIV	-	857982	856886	
YDR204W	COQ4	chrIV	+	858074	859202	
YDR205W	MSC2	chrIV	+	859306	861418	
YDR206W	EBS1	chrIV	+	861714	864730	
YDR207C	"UME6, RIM16, NIM2, CAR80"	chrIV	-	867678	864910	
YDR208W	MSS4	chrIV	+	867987	870546	
YDR210W		chrIV	+	871002	871602	
YDR211W	GCD6	chrIV	+	884650	886946	
YDR212W	"TCP1, CCT1"	chrIV	+	887138	888778	
YDR213W	"UPC2, MOX4"	chrIV	+	889530	892610	
CUT515		chrIV	-	892444	892028	
YDR214W	AHA1	chrIV	+	892738	893890	
Unit138		chrIV	+	894545	895004	
YDR216W	ADR1	chrIV	+	894933	899184	
YDR217C	RAD9	chrIV	-	903543	899495	
YDR218C	SPR28	chrIV	-	905154	903603	
YDR219C		chrIV	-	907087	905335	
YDR221W	GTB1	chrIV	+	907307	909651	
SUT474		chrIV	-	909413	908501	
YDR222W		chrIV	+	910019	911339	
Unit092		chrIV	-	911962	911371	
YDR223W	CRF1	chrIV	+	911997	913680	
anti038		chrIV	-	913767	912502	
Unit139		chrIV	+	914128	914267	
YDR224C	"HTB1, SPT12"	chrIV	-	914823	914191	
YDR225W	"HTA1, SPT11, H2A1"	chrIV	+	915427	916083	
SUT476		chrIV	-	916341	916061	
YDR226W	"ADK1, AKY2, AKY1"	chrIV	+	916419	917291	
YDR227W	"SIR4, UTH2, STE9, ASD1"	chrIV	+	917451	921819	
YDR228C	PCF11	chrIV	-	923895	921911	
SUT477		chrIV	-	924541	924285	
YDR229W	IVY1	chrIV	+	924699	926195	
YDR231C	COX20	chrIV	-	926935	926240	
YDR232W	"HEM1, CYD1"	chrIV	+	927187	929267	
SUT478		chrIV	-	927645	927525	
Unit095		chrIV	-	929336	929134	
YDR233C	RTN1	chrIV	-	930415	929311	
Unit140		chrIV	+	930630	931037	
YDR234W	"LYS4, LYS3"	chrIV	+	931027	933388	
YDR235W	"PRP42, SNU65, MUD16"	chrIV	+	933475	935059	
YDR236C	FMN1	chrIV	-	935919	935191	
YDR237W	"MRPL7, YmL5/7"	chrIV	+	936451	937467	
YDR238C	SEC26	chrIV	-	940863	937767	
YDR239C		chrIV	-	943471	941320	
YDR240C	"SNU56, MUD10"	chrIV	-	945183	943639	
YDR242W	AMD2	chrIV	+	946715	948563	
YDR243C	PRP28	chrIV	-	950319	948479	
YDR244W	"PEX5, PAS10"	chrIV	+	950539	952443	
YDR245W	"MNN10, REC41, SLC2, BED1"	chrIV	+	952707	954123	
YDR246W	TRS23	chrIV	+	954252	955107	
YDR246W-A		chrIV	+	955031	955511	
YDR247W	VHS1	chrIV	+	955651	957699	
SUT062		chrIV	+	957793	958601	
YDR248C		chrIV	-	958407	957519	
YDR249C		chrIV	-	959871	958647	
YDR251W	PAM1	chrIV	+	960283	963275	
YDR252W	BTT1	chrIV	+	963403	964083	
YDR253C	MET32	chrIV	-	964807	963967	
YDR254W	"CHL4, MCM17, CTF17"	chrIV	+	964996	966963	
YDR255C	"RMD5, GID2"	chrIV	-	967863	966263	
anti039		chrIV	+	968058	969603	
YDR256C	CTA1	chrIV	-	969815	967847	
YDR257C	"SET7, RMS1"	chrIV	-	971503	969799	
YDR258C	HSP78	chrIV	-	974287	971783	
CUT075		chrIV	+	974585	975017	
YDR259C	"YAP6, HAL7"	chrIV	-	975884	974453	
SUT064		chrIV	+	977057	977313	
YDR260C	SWM1	chrIV	-	977287	976439	
YDR261C	EXG2	chrIV	-	979287	977407	
Unit141		chrIV	+	979498	980176	
SUT479		chrIV	-	980925	980069	
YDR262W		chrIV	+	993107	994059	
YDR263C	"DIN7, DIN3"	chrIV	-	995775	994159	
YDR264C	AKR1	chrIV	-	998431	995759	
YDR265W	"PEX10, PAS4"	chrIV	+	998627	999994	
YDR266C		chrIV	-	1002239	1000415	
YDR267C		chrIV	-	1003559	1002455	
YDR268W	MSW1	chrIV	+	1003931	1005187	
CUT516		chrIV	-	1005325	1004461	
YDR270W	CCC2	chrIV	+	1005579	1008731	
YDR272W	GLO2	chrIV	+	1008947	1009851	
YDR273W	DON1	chrIV	+	1009835	1010859	
anti-YDR272W		chrIV	-	1009878	1009383	
CUT517		chrIV	-	1011429	1010917	
YDR275W	BSC2	chrIV	+	1012150	1013137	
Unit098		chrIV	-	1013459	1013259	
YDR276C	"PMP3, SNA1"	chrIV	-	1013750	1013327	
SUT065		chrIV	+	1014361	1016881	
YDR277C	"MTH1, HTR1, DGT1, BPC1"	chrIV	-	1015847	1014255	
SUT480		chrIV	-	1019133	1018125	
YDR279W	"RNH202, Rnh2B"	chrIV	+	1019243	1020115	
CUT518		chrIV	-	1020389	1019973	
YDR280W	RRP45	chrIV	+	1020603	1021699	
YDR281C	PHM6	chrIV	-	1022391	1021879	
YDR282C		chrIV	-	1024751	1023287	
YDR283C	"GCN2, AAS1"	chrIV	-	1030279	1029607	
CUT076		chrIV	+	1030513	1030881	
YDR284C	"DPP1, ZRG1"	chrIV	-	1031719	1030503	
YDR285W	ZIP1	chrIV	+	1032334	1035241	
YDR286C		chrIV	-	1035583	1035143	
YDR287W		chrIV	+	1035875	1036947	
CUT520		chrIV	-	1037005	1036637	
YDR288W	NSE3	chrIV	+	1037123	1038226	
YDR289C	RTT103	chrIV	-	1039654	1038207	
YDR291W		chrIV	+	1039699	1042867	
YDR292C	SRP101	chrIV	-	1045143	1043127	
Unit143		chrIV	+	1045340	1045787	
YDR293C	"SSD1, SRK1, RLT1, MCS1, CLA1"	chrIV	-	1049494	1045462	
YDR294C	"DPL1, BST1"	chrIV	-	1052279	1050415	
YDR295C	"HDA2, PLO2"	chrIV	-	1054911	1052623	
YDR296W	"MHR1, XTC1"	chrIV	+	1055139	1055755	
anti-YDR296W-2		chrIV	-	1056148	1055814	
YDR297W	"SUR2, SYR2"	chrIV	+	1056499	1057715	
YDR298C	"ATP5, OSC1"	chrIV	-	1058999	1058008	
YDR299W	BFR2	chrIV	+	1059563	1059931	
YDR300C	PRO1	chrIV	-	1062855	1061415	
YDR301W	"CFT1, YHH1"	chrIV	+	1063275	1067435	
YDR302W	GPI11	chrIV	+	1067667	1068267	
YDR303C	RSC3	chrIV	-	1071695	1068575	
YDR304C	"CPR5, CYP5"	chrIV	-	1072607	1071831	
CUT078		chrIV	+	1072753	1073289	
YDR305C	"HNT2, APH1"	chrIV	-	1073670	1073295	
YDR306C		chrIV	-	1075223	1073655	
YDR307W		chrIV	+	1075803	1077971	
YDR308C	"SRB7, MED21"	chrIV	-	1078487	1077863	
Unit144		chrIV	+	1078647	1079012	
YDR309C	GIC2	chrIV	-	1080263	1078775	
SUT066		chrIV	+	1080801	1081049	
YDR310C	SUM1	chrIV	-	1084598	1080927	
YDR311W	TFB1	chrIV	+	1085019	1087010	
YDR312W	SSF2	chrIV	+	1087530	1088850	
YDR313C	PIB1	chrIV	-	1090238	1089366	
CUT079		chrIV	+	1090392	1091400	
CUT080		chrIV	+	1092760	1093256	
YDR314C		chrIV	-	1092782	1090222	
YDR315C	"IPK1, GSL1"	chrIV	-	1093598	1092766	
YDR316W	OMS1	chrIV	+	1093730	1095138	
YDR317W	HIM1	chrIV	+	1102082	1103606	
SUT481		chrIV	-	1103564	1102468	
YDR318W	"MCM21, CTF5"	chrIV	+	1103890	1104946	
anti-YDR319C		chrIV	+	1105458	1106124	
YDR319C		chrIV	-	1105933	1105030	
CUT081		chrIV	+	1106080	1106856	
YDR320C	"SWA2, BUD24, AUX1"	chrIV	-	1108270	1106206	
YDR321W	ASP1	chrIV	+	1108587	1109930	
YDR320C-A	"DAD4, HSK2"	chrIV	-	1108600	1108102	
YDR322W	"MRPL35, YmL35"	chrIV	+	1110562	1111658	
YDR322C-A	"TIM11, ATP21"	chrIV	-	1112395	1111825	
YDR323C	"PEP7, VPT19, VPS19, VPL21, VAC1"	chrIV	-	1114054	1112318	
YDR324C	UTP4	chrIV	-	1116742	1114278	
YDR325W	"YCG1, YCS5, TIE1"	chrIV	+	1117090	1120244	
YDR326C		chrIV	-	1125088	1121800	
YDR328C	"SKP1, CBF3D, MGO1"	chrIV	-	1126080	1125296	
YDR329C	"PEX3, PAS3"	chrIV	-	1127632	1126200	
YDR330W	UBX5	chrIV	+	1127812	1129572	
YDR331W	GPI8	chrIV	+	1129556	1130812	
YDR332W		chrIV	+	1130796	1132996	
anti-YDR332W		chrIV	-	1131191	1130857	
YDR333C		chrIV	-	1135456	1133496	
YDR334W	SWR1	chrIV	+	1135677	1140500	
SUT067		chrIV	+	1140666	1140707	
YDR335W	"MSN5, STE21, KAP142"	chrIV	+	1140797	1143461	
YDR336W		chrIV	+	1144837	1145101	
CUT522		chrIV	-	1146063	1145727	
YDR337W	MRPS28	chrIV	+	1146261	1147229	
YDR338C		chrIV	-	1149537	1147218	
CUT082		chrIV	+	1149683	1149987	
YDR339C		chrIV	-	1150561	1150017	
YDR341C	"ArgRS, RRS1"	chrIV	-	1153681	1151697	
CUT083		chrIV	+	1153883	1154075	
Unit102		chrIV	-	1154208	1154060	
YDR342C	HXT7	chrIV	-	1156030	1154038	
Unit146		chrIV	+	1156638	1157076	
SUT068		chrIV	+	1157363	1158995	
YDR343C	HXT6	chrIV	-	1161422	1159430	
SUT069		chrIV	+	1162355	1165899	
YDR345C	HXT3	chrIV	-	1164705	1162817	
CUT523		chrIV	-	1166439	1166159	
SUT070		chrIV	+	1166659	1167027	
Unit103		chrIV	-	1167195	1166694	
YDR346C	"SVF1, SGI1"	chrIV	-	1168841	1166937	
YDR347W	MRP1	chrIV	+	1169069	1169933	
YDR348C		chrIV	-	1172057	1170161	
YDR349C	YPS7	chrIV	-	1174281	1172289	
SUT071		chrIV	+	1174467	1174859	
SUT483		chrIV	-	1174823	1174615	
YDR350C	"TCM10, ATP22"	chrIV	-	1178202	1176097	
YDR351W	SBE2	chrIV	+	1178430	1180190	
YDR352W		chrIV	+	1181598	1182878	
CUT524		chrIV	-	1182952	1182392	
Unit105		chrIV	-	1183016	1182963	
YDR353W	TRR1	chrIV	+	1183214	1184310	
SUT484		chrIV	-	1183472	1183024	
YDR354W	TRP4	chrIV	+	1184622	1185830	
YDR356W	"SPC110, NUF1, XCM1"	chrIV	+	1185814	1189190	
YDR357C		chrIV	-	1189730	1189210	
YDR358W	GGA1	chrIV	+	1189982	1191901	
YDR359C	"VID21, EAF1"	chrIV	-	1195347	1191898	
YDR361C	BCP1	chrIV	-	1196299	1195331	
SUT072		chrIV	+	1196549	1197701	
YDR362C	TFC6	chrIV	-	1198803	1196779	
YDR363W	ESC2	chrIV	+	1198975	1201223	
YDR363W-A	"SEM1, HOD1, DSS1"	chrIV	+	1202026	1202575	
YDR364C	"CDC40, SLU4, SLT15, PRP17"	chrIV	-	1204235	1202523	
YDR365C	ESF1	chrIV	-	1206443	1204483	
YDR367W		chrIV	+	1212775	1212871	
YDR366C		chrIV	-	1212938	1212260	
YDR368W	YPR1	chrIV	+	1213839	1215007	
YDR369C	XRS2	chrIV	-	1217851	1214203	
YDR370C		chrIV	-	1219115	1217835	
YDR371W	CTS2	chrIV	+	1219343	1220799	
YDR372C	"VPS74, API1"	chrIV	-	1222451	1220955	
YDR373W	FRQ1	chrIV	+	1222671	1223327	
YDR374C		chrIV	-	1224496	1223296	
YDR374W-A		chrIV	+	1224655	1225204	
anti041		chrIV	+	1224726	1225191	
YDR375C	BCS1	chrIV	-	1226547	1225211	
YDR376W	ARH1	chrIV	+	1226751	1228311	
YDR377W	ATP17	chrIV	+	1228519	1229207	
anti-YDR378C		chrIV	+	1229085	1229421	
YDR378C	LSM6	chrIV	-	1229635	1229139	
YDR379W	RGA2	chrIV	+	1230079	1233191	
YDR379C-A		chrIV	-	1233619	1233100	
YDR380W	ARO10	chrIV	+	1234111	1236159	
anti042		chrIV	-	1236195	1234962	
Unit106		chrIV	-	1236306	1236168	
YDR381W	"YRA1, SHE11"	chrIV	+	1236455	1236839	
Unit107		chrIV	-	1238158	1238089	
anti-YDR381C-A		chrIV	+	1238750	1239090	
YDR381C-A		chrIV	-	1238952	1238134	
Unit108		chrIV	-	1239103	1238992	
YDR382W	"RPP2B, YPA1, RPL45"	chrIV	+	1239399	1239983	
CUT088		chrIV	+	1240005	1241029	
YDR383C	NKP1	chrIV	-	1241051	1239683	
YDR384C	ATO3	chrIV	-	1242147	1241035	
Unit149		chrIV	+	1242728	1243168	
YDR385W	EFT2	chrIV	+	1243128	1245936	
YDR386W	"MUS81, SLX3"	chrIV	+	1245911	1248095	
YDR387C		chrIV	-	1249931	1248067	
YDR388W	RVS167	chrIV	+	1250127	1251759	
SUT486		chrIV	-	1251457	1251065	
YDR389W	SAC7	chrIV	+	1252435	1254679	
YDR390C	"UBA2, UAL1"	chrIV	-	1256891	1254963	
YDR391C		chrIV	-	1258443	1258043	
YDR392W	SPT3	chrIV	+	1258607	1261319	
YDR393W	"SHE9, MDM33"	chrIV	+	1259799	1261449	
anti-YDR393W-2		chrIV	-	1260179	1259786	
SUT488		chrIV	-	1261393	1260577	
YDR394W	"RPT3, YTA2, YNT1"	chrIV	+	1261559	1263055	
YDR395W	"SXM1, KAP108"	chrIV	+	1263183	1266031	
YDR397C	"NCB2, YDR1"	chrIV	-	1266971	1266859	
YDR398W	UTP5	chrIV	+	1267399	1269526	
CUT528		chrIV	-	1269753	1268929	
YDR399W	"HPT1, HGPRTase, HPRT, BRA6"	chrIV	+	1269983	1270815	
YDR400W	URH1	chrIV	+	1270991	1272063	
YDR402C	"DIT2, CYP56"	chrIV	-	1273805	1272056	
YDR403W	DIT1	chrIV	+	1274500	1276390	
CUT529		chrIV	-	1276513	1275041	
YDR404C	"RPB7, B16"	chrIV	-	1277371	1276571	
YDR405W	"MRP20, YmL41, MRPL41"	chrIV	+	1277575	1278527	
YDR406W	PDR15	chrIV	+	1279095	1280127	
anti043		chrIV	-	1279947	1279466	
YDR407C	TRS120	chrIV	-	1288019	1284147	
YDR408C	ADE8	chrIV	-	1288931	1288259	
YDR409W	"SIZ1, ULL1"	chrIV	+	1289407	1292367	
SUT490		chrIV	-	1292153	1291089	
YDR410C	STE14	chrIV	-	1293155	1292763	
YDR411C	DFM1	chrIV	-	1294443	1293307	
YDR412W		chrIV	+	1294623	1295559	
SUT074		chrIV	+	1295765	1296701	
YDR414C	"ERD1, LDB2"	chrIV	-	1296788	1295420	
YDR415C		chrIV	-	1298211	1295483	
YDR416W	"SYF1, NTC90"	chrIV	+	1298319	1300991	
CUT532		chrIV	-	1300977	1300313	
YDR418W	RPL12B	chrIV	+	1301527	1302215	
YDR419W	"RAD30, DBH1"	chrIV	+	1303151	1305167	
YDR420W	HKR1	chrIV	+	1305903	1307631	
YDR421W	ARO80	chrIV	+	1311935	1315007	
YDR422C	SIP1	chrIV	-	1317843	1315443	
YDR423C	"CAD1, YAP2"	chrIV	-	1319243	1318091	
CUT092		chrIV	+	1319453	1319765	
YDR424C	"DYN2, SLC1"	chrIV	-	1319891	1319811	
YDR425W	SNX41	chrIV	+	1319951	1321951	
YDR427W	RPN9	chrIV	+	1322159	1323455	
CUT093		chrIV	+	1323469	1324429	
YDR428C		chrIV	-	1324515	1323395	
YDR429C	TIF35	chrIV	-	1325339	1324499	
YDR430C	"CYM1, MOP112"	chrIV	-	1328539	1327419	
YDR432W	"NPL3, NAB1, NOP3, MTS1, MTR13"	chrIV	+	1328751	1330263	
YDR434W	GPI17	chrIV	+	1331111	1332807	
YDR435C	PPM1	chrIV	-	1334059	1332963	
YDR436W	PPZ2	chrIV	+	1334567	1336799	
YDR437W	GPI19	chrIV	+	1337263	1338543	
YDR438W		chrIV	+	1338172	1339564	
SUT491		chrIV	-	1339417	1338265	
YDR439W	LRS4	chrIV	+	1339574	1340897	
SUT492		chrIV	-	1342217	1340737	
YDR440W	"DOT1, PCH1"	chrIV	+	1342399	1344607	
Unit110		chrIV	-	1345204	1345126	
YDR441C	APT2	chrIV	-	1345227	1344339	
YDR443C	"SSN2, MED13, RYE3, UME2, SRB9, SCA1, NUT8"	chrIV	-	1350003	1345515	
YDR444W		chrIV	+	1350199	1352399	
SUT493		chrIV	-	1353561	1353249	
YDR446W	ECM11	chrIV	+	1353623	1354811	
YDR447C	"RPS17B, RPL51B, RP51B"	chrIV	-	1355579	1355227	
YDR448W	"ADA2, SWI8"	chrIV	+	1355959	1357399	
YDR449C	UTP6	chrIV	-	1358939	1358043	
CUT095		chrIV	+	1359165	1359493	
YDR450W	RPS18A	chrIV	+	1359887	1359967	
CUT096		chrIV	+	1360949	1361053	
YDR451C	YHP1	chrIV	-	1362235	1361003	
YDR452W	"PPN1, PHM5"	chrIV	+	1362727	1364623	
YDR453C	"TSA2, cTPxII"	chrIV	-	1365715	1365043	
YDR454C	"GUK1, PUR5"	chrIV	-	1366867	1366147	
YDR456W	"NHX1, NHA2, VPS44"	chrIV	+	1367423	1369471	
YDR457W	TOM1	chrIV	+	1369639	1371471	
YDR458C		chrIV	-	1382291	1380107	
YDR459C		chrIV	-	1383555	1382275	
YDR460W	"TFB3, RIG2"	chrIV	+	1383663	1384759	
CUT534		chrIV	-	1384769	1383905	
YDR461W	MFA1	chrIV	+	1385071	1385471	
YDR461C-A		chrIV	-	1385868	1385346	
YDR462W	"MRPL28, YmL28"	chrIV	+	1386015	1386623	
YDR463W	"STP1, SSY2, BAP1"	chrIV	+	1386759	1388487	
YDR464W	SPP41	chrIV	+	1388743	1390958	
YDR465C	RMT2	chrIV	-	1394643	1393299	
YDR466W	PKH3	chrIV	+	1395007	1397919	
YDR468C	TLG1	chrIV	-	1398851	1397915	
YDR469W	"SDC1, SAF19, CPS25"	chrIV	+	1398991	1399775	
YDR470C	UGO1	chrIV	-	1401315	1399611	
YDR471W	RPL27B	chrIV	+	1401719	1401807	
YDR472W	TRS31	chrIV	+	1403199	1403982	
YDR473C	"PRP3, RNA3"	chrIV	-	1405915	1404523	
SUT075		chrIV	+	1406093	1408125	
YDR475C	YDR474C	chrIV	-	1410339	1407435	
SUT076		chrIV	+	1410517	1411917	
YDR476C		chrIV	-	1411187	1410323	
YDR477W	"SNF1, PAS14, HAF3, GLC2, CCR1, CAT1"	chrIV	+	1412071	1414063	
Unit152		chrIV	+	1412085	1412350	
anti046		chrIV	-	1412467	1412378	
YDR478W	SNM1	chrIV	+	1414535	1415151	
YDR479C	PEX29	chrIV	-	1416987	1415219	
Unit153		chrIV	+	1417096	1417299	
YDR480W	"DIG2, RST2"	chrIV	+	1417335	1418263	
YDR481C	PHO8	chrIV	-	1420307	1418435	
YDR482C	CWC21	chrIV	-	1420939	1420291	
YDR483W	"KRE2, MNT1"	chrIV	+	1421119	1422599	
YDR484W	"VPS52, SAC2"	chrIV	+	1422583	1424727	
CUT098		chrIV	+	1427413	1427901	
YDR485C	"VPS72, SWC2"	chrIV	-	1427675	1424747	
YDR486C	"VPS60, CHM5, MOS10"	chrIV	-	1428187	1427659	
YDR487C	RIB3	chrIV	-	1429051	1428291	
YDR488C	PAC11	chrIV	-	1430866	1429035	
YDR489W	"SLD5, CDC105"	chrIV	+	1430991	1432023	
YDR490C	PKH1	chrIV	-	1434363	1431883	
YDR492W	IZH1	chrIV	+	1434703	1435527	
YDR493W		chrIV	+	1436095	1436559	
CUT535		chrIV	-	1436417	1435793	
CUT536		chrIV	-	1436697	1436417	
YDR494W	RSM28	chrIV	+	1436831	1437823	
YDR495C	"VPS3, VPT17, VPL3, PEP6"	chrIV	-	1441147	1441091	
YDR496C	PUF6	chrIV	-	1443435	1441475	
YDR497C	ITR1	chrIV	-	1445555	1443667	
SUT077		chrIV	+	1445773	1446157	
YDR498C	SEC20	chrIV	-	1447035	1445859	
YDR499W	"LCD1, PIE1, DDC2"	chrIV	+	1447799	1450103	
YDR500C	RPL37B	chrIV	-	1450891	1450443	
YDR501W	PLM2	chrIV	+	1451223	1453783	
SUT494		chrIV	-	1452833	1451121	
YDR502C	"SAM2, ETH2"	chrIV	-	1454515	1453091	
YDR503C	LPP1	chrIV	-	1455915	1454947	
SUT078		chrIV	+	1456077	1456685	
YDR504C	SPG3	chrIV	-	1456955	1456123	
YDR505C	"PSP1, GIN5"	chrIV	-	1459483	1456939	
SUT079		chrIV	+	1459757	1460573	
YDR506C		chrIV	-	1461587	1459467	
YDR507C	"GIN4, ERC47"	chrIV	-	1465907	1462915	
SUT080		chrIV	+	1466213	1466381	
YDR508C	GNP1	chrIV	-	1468507	1466315	
YDR510W	SMT3	chrIV	+	1469327	1469791	
YDR511W	ACN9	chrIV	+	1470007	1470502	
YDR512C	EMI1	chrIV	-	1470827	1470411	
YDR513W	"GRX2, TTR1"	chrIV	+	1470951	1471535	
YDR514C		chrIV	-	1473043	1471395	
YDR515W	"SLF1, SRO99"	chrIV	+	1473199	1474743	
YDR516C	EMI2	chrIV	-	1476547	1475123	
SUT495		chrIV	-	1477001	1476657	
YDR517W	GRH1	chrIV	+	1477127	1478279	
YDR518W	EUG1	chrIV	+	1478575	1479767	
YDR519W	"FPR2, FKBP13, FKB2"	chrIV	+	1480351	1481007	
YDR520C		chrIV	-	1483491	1480955	
SUT081		chrIV	+	1483733	1484317	
YDR522C	SPS2	chrIV	-	1485405	1483617	
YDR523C	SPS1	chrIV	-	1487140	1485388	
SUT082		chrIV	+	1487549	1488717	
YDR524C	"AGE1, SAT1"	chrIV	-	1489115	1487355	
YDR524W-C	YDR524W-A	chrIV	+	1489301	1489670	
YDR524C-B		chrIV	-	1489900	1489420	
YDR525W-A	SNA2	chrIV	+	1490494	1491013	
YDR527W	RBA50	chrIV	+	1490847	1492439	
Unit154		chrIV	+	1493413	1493684	
SUT496		chrIV	-	1493953	1493657	
YDR528W	HLR1	chrIV	+	1494271	1495959	
YDR529C	"QCR7, UCR7, CRO1, COR4"	chrIV	-	1496587	1496059	
CUT101		chrIV	+	1496813	1497189	
YDR530C	APA2	chrIV	-	1497955	1496571	
YDR531W		chrIV	+	1498159	1499287	
YDR532C		chrIV	-	1500603	1499331	
SUT083		chrIV	+	1500717	1501029	
YDR533C	HSP31	chrIV	-	1502323	1501363	
YDR534C	FIT1	chrIV	-	1505002	1503136	
SUT497		chrIV	-	1507498	1507402	
YDR536W	STL1	chrIV	+	1507903	1509892	
anti049		chrIV	-	1509804	1508259	
YDR538W	"PAD1, POF1"	chrIV	+	1510833	1511801	
YDR539W		chrIV	+	1511977	1513649	
SUT084		chrIV	+	1514351	1515367	
SUT499		chrIV	-	1516443	1514051	
YDR540C		chrIV	-	1517787	1516797	
YDR541C		chrIV	-	1520947	1519467	
SUT085		chrIV	+	1521109	1522269	
YDR542W		chrIV	+	1523147	1523789	
YDR545W	"YRF1-1, YRF1"	chrIV	+	1526219	1531889	
YEL077C		chrV	-	4199	86	
YEL076C		chrV	-	5216	4286	
YEL076C-A		chrV	-	5216	4007	
YEL075C		chrV	-	5815	5167	
YEL073C		chrV	-	7665	6097	
SUT086		chrV	+	7713	8089	
SUT500		chrV	-	9765	8413	
CUT103		chrV	+	9969	10497	
SUT501		chrV	-	11341	10501	
SUT087		chrV	+	11545	11929	
Unit156		chrV	-	12995	12384	
YEL072W	RMD6	chrV	+	13557	14701	
SUT502		chrV	-	15029	14693	
SUT503		chrV	-	15981	15773	
YEL071W	DLD3	chrV	+	16293	17884	
YEL070W	DSF1	chrV	+	19487	21275	
YEL069C	HXT13	chrV	-	23281	23226	
YEL067C		chrV	-	26537	25985	
YEL066W	HPA3	chrV	+	26613	27149	
YEL065W	"SIT1, ARN3"	chrV	+	27613	29589	
YEL064C	AVT2	chrV	-	31257	29865	
YEL063C	CAN1	chrV	-	33713	31481	
YEL062W	NPR2	chrV	+	34309	36285	
YEL061C	"CIN8, SDS15, KSL2"	chrV	-	39665	36369	
YEL060C	"PRB1, yscB, CVT1"	chrV	-	42009	39865	
YEL059C-A	SOM1	chrV	-	42665	42409	
YEL058W	"PCM1, AGM1"	chrV	+	43205	44997	
CUT105		chrV	+	45065	45809	
YEL057C		chrV	-	45823	44842	
Unit157		chrV	-	46407	45847	
YEL056W	HAT2	chrV	+	47101	48421	
YEL055C	POL5	chrV	-	51609	49529	
CUT543		chrV	-	51973	51773	
YEL054C	RPL12A	chrV	-	53265	52473	
YEL053C	MAK10	chrV	-	56185	53801	
YEL052W	AFG1	chrV	+	56509	58109	
YEL051W	VMA8	chrV	+	58309	59277	
CUT545		chrV	-	59309	58821	
